Participant,Duration_s,RecordedDate,LocationLatitude,LocationLongitude,min_grip_q,max_grip_q,age,sex,exercise_in_past_twelve_hours,drugs_in_past_twelve_hours,heard_of_beta_alanine,talkative,fault_with_others,thorough_job,depressed,original,reserved,helpful,careless,relaxed,curious,energy,quarrels,reliable,tense,ingenious,enthusiam,forgiving,disorganised,worries,lazy,emotionally_stable,inventive,assertive,cold,perserveres,moody,values_art,shy,considerate,efficient,calm,prefers_routine_work,outgoing,rude,makes_plans,get_nervous,likes_to_reflect,few_artistic_interests,active_imagination,quiet,trusting,cooperative,distracted,sophisticated,easy_to_get_close,difficult_depending_on_others,worry_people_dont_love_me,others_reluctant_to_get_close,comfortable_depending_on_others,dont_worry_about_people_getting_too_close,people_never_there_when_needed,uncomfortable_being_close_to_others,worry_people_wont_stay_with_me,afraid_feelings_not_reciprocated,wonder_whether_people_really_care,comfortable_developing_close_relationships,uncomfortable_with_people_getting_too_emotionally_close,people_there_when_needed,worry_about_being_hurt,difficult_to_trust_others,people_want_to_be_closer_than_wanted,not_sure_if_people_can_be_depended_on,breaking_arm,wart_removal,paper_cut,injection_in_mouth,soap_in_eyes,slam_door_on_hand,gulping_hot_drink,injection_in_hip,falling_down,cramp,memory,close_to_support_figure_during_exercise,close_to_stranger_during_exercise,beta_alanine_performance_effect,beta_alanine_difficulty_effect,beta_alanine_side_effect,comfortable_when_constantly_with_someone,at_ease_doing_things_with_others,prefer_work_side_by_side,life_incomplete_without_buddy,hard_to_use_skills_without_partner,stick_to_friends,join_groups_for_friends,wish_to_be_with_someone_always,does_support_figure_match_description,years,months,hypothesis_check,other_comments,how_found_out_about_study
15,9447,2/21/17 19:51,51.75,-1.25,4.339,4.01,21,Female,Yes,No,No,Strongly agree,Disagree strongly,Strongly agree,Disagree strongly,Agree a little,Disagree strongly,Strongly agree,Disagree a little,Disagree strongly,Strongly agree,Strongly agree,Disagree strongly,Strongly agree,Agree a little,Disagree strongly,Agree a little,Strongly agree,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Strongly agree,Agree a little,Agree a little,Disagree a little,Strongly agree,Agree a little,Disagree a little,Disagree strongly,Strongly agree,Disagree strongly,Strongly agree,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Strongly agree,Strongly agree,Disagree a little,Disagree a little,"Very characteristic of me
(5)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Very characteristic of me
(5)
","Very characteristic of me
(5)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Very characteristic of me
(5)
","Not at all characteristic of me
(1)
","Very characteristic of me
(5)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
","Not at all characteristic of me
(1)
",A little,Not at all,Not at all,A fair amount,Not at all,Very much,A little,A little,Very much,Not at all,"My mom is generally always available whenever I need her emotionally, specifically whenever I am very stressed for exams and the like (e.g. my exams at the end of Michaelmas term).",Strongly agree,Strongly agree,87,10,No.,4,5,6,7,4,4,1,4,7,21,10,I think that the experiment assessed whether people you feel close to increase your working abilities in terms of memory and physical strength.,,Flyer or email
